A	(A)[N]
Wirtschaftsgeschichte	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],((gescheh)[V],(te)[N|V.])[N])[N]
Wirtschaftshilfe	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],((helf)[V])[N])[N]
Wirtschaftsjahr	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],(Jahr)[N])[N]
Wirtschaftskammer	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],(Kammer)[N])[N]
Wirtschaftskrieg	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],(Krieg)[N])[N]
Wirtschaftskrise	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],(Krise)[N])[N]
Wirtschaftslage	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],(Lage)[N])[N]
Wirtschaftsleben	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],((leben)[F])[N])[N]
Wirtschaftslehre	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],((lehr)[V],(e)[N|V.])[N])[N]
Wirtschaftsminister	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],(Minister)[N])[N]
Wirtschaftsordnung	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],((ordn)[V],(ung)[N|V.])[N])[N]
Wirtschaftspolitik	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],((polit)[R],(ik)[N|R.])[N])[N]
wirtschaftspolitisch	((wirtschaftspolit)[R],(isch)[A|R.])[A]
Wirtschaftspruefer	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.Vx],(pruef)[V],(er)[N|NxV.])[N]
Wirtschaftsraum	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],(Raum)[N])[N]
Wirtschaftssystem	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],(System)[N])[N]
Wirtschaftswachstum	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],((wachs)[V],(tum)[N|V.])[N])[N]
Wirtschaftswissenschaften	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],(((wissen)[F])[N],(schaft)[N|N.])[N])[N]
Wirtschaftswunder	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],(Wunder)[N])[N]
Wirtschaftszweig	(((Wirt)[N],(schaft)[N|N.])[N],(s)[N|N.N],(Zweig)[N])[N]
Wirtshaus	((Wirt)[N],(s)[N|N.N],(Haus)[N])[N]
Wirtspflanze	((Wirt)[N],(s)[N|N.N],(Pflanze)[N])[N]
Wirtsstube	((Wirt)[N],(s)[N|N.N],(Stube)[N])[N]
Wirtstier	((Wirt)[N],(s)[N|N.N],(Tier)[N])[N]
Wirz	(Wirz)[N]
wischen	(wisch)[V]
Wisch	(Wisch)[N]
Wischer	((wisch)[V],(er)[N|V.])[N]
wischfest	((wisch)[V],(fest)[A|V.])[A]
Wischlappen	((wisch)[V],(Lappen)[N])[N]
Wischtuch	((wisch)[V],(Tuch)[N])[N]
wispeln	(wispel)[V]
wispern	(wisper)[V]
wissen	(wiss)[V]
Wissbegier	((wiss)[V],((be)[N|.N],(Gier)[N])[N])[N]
wissbegierig	(((wiss)[V],((be)[N|.N],(Gier)[N])[N])[N],(ig)[A|N.])[A]
Wissen	((wissen)[F])[N]
Wissenschaft	(((wissen)[F])[N],(schaft)[N|N.])[N]
Wissenschaftler	((((wissen)[F])[N],(schaft)[N|N.])[N],(ler)[N|N.])[N]
wissenschaftlich	((((wissen)[F])[N],(schaft)[N|N.])[N],(lich)[A|N.])[A]
Wissenschaftlichkeit	(((((wissen)[F])[N],(schaft)[N|N.])[N],(lich)[A|N.])[A],(keit)[N|A.])[N]
Wissenschaftsbetrieb	((((wissen)[F])[N],(schaft)[N|N.])[N],(s)[N|N.N],(((be)[V|.V],(treib)[V])[V])[N])[N]
Wissensdrang	(((wissen)[F])[N],(s)[N|N.N],((drang)[F])[N])[N]
Wissensdurst	(((wissen)[F])[N],(s)[N|N.N],(Durst)[N])[N]
wissensdurstig	((((wissen)[F])[N],(s)[N|N.N],(Durst)[N])[N],(ig)[A|N.])[A]
Wissensgebiet	(((wissen)[F])[N],(s)[N|N.N],(Gebiet)[N])[N]
Wissensstoff	(((wissen)[F])[N],(s)[N|N.N],(Stoff)[N])[N]
wissenswert	(((wissen)[F])[N],(s)[A|N.A],(wert)[A])[A]
wissentlich	(((wissen)[F])[N],(t)[A|N.x],(lich)[A|Nx.])[A]
wittern	((Wetter)[N])[V]
Witterung	(((Wetter)[N])[V],(ung)[N|V.])[N]
witterungsbedingt	((((Wetter)[N])[V],(ung)[N|V.])[N],(s)[A|N.A],((bedingt)[F])[A])[A]
Witterungsumschlag	((((Wetter)[N])[V],(ung)[N|V.])[N],(s)[N|N.N],(((um)[V|.V],(schlag)[V])[V])[N])[N]
Witwe	(Witwe)[N]
Witwengeld	((Witwe)[N],(n)[N|N.N],(Geld)[N])[N]
Witwenrente	((Witwe)[N],(n)[N|N.N],(Rente)[N])[N]
Witwenschleier	((Witwe)[N],(n)[N|N.N],(Schleier)[N])[N]
Witwentum	((Witwe)[N],(n)[N|N.x],(tum)[N|Nx.])[N]
Witwer	((Witwe)[N],(er)[N|N.])[N]
Witwerschaft	(((Witwe)[N],(er)[N|N.])[N],(schaft)[N|N.])[N]
Witz	(Witz)[N]
Witzblatt	((Witz)[N],(blatt)[N])[N]
Witzbold	((Witz)[N],(bold)[N|N.])[N]
witzeln	((Witz)[N],(el)[V|N.])[V]
Witzelei	(((Witz)[N],(el)[V|N.])[V],(ei)[N|V.])[N]
witzig	((Witz)[N],(ig)[A|N.])[A]
Witzigkeit	(((Witz)[N],(ig)[A|N.])[A],(keit)[N|A.])[N]
witzlos	((Witz)[N],(los)[A|N.])[A]
witzspruehend	((Witz)[N],(spruehend)[F])[A]
wo	(wo)[B]
wo	(wo)[C]
woanders	((wo)[B],((ander)[O],(s)[B|O.])[B])[B]
woandershin	(((wo)[B],((ander)[O],(s)[B|O.])[B])[B],(hin)[B])[B]
wobei	((wo)[B],(bei)[P])[B]
Woche	(Woche)[N]
Wochenbett	((Woche)[N],(n)[N|N.N],(Bett)[N])[N]
Wochenblatt	((Woche)[N],(n)[N|N.N],(blatt)[N])[N]
Wochenende	((Woche)[N],(n)[N|N.N],(Ende)[N])[N]
Wochenendhaus	(((Woche)[N],(n)[N|N.N],(Ende)[N])[N],(Haus)[N])[N]
Wochenkarte	((Woche)[N],(n)[N|N.N],(Karte)[N])[N]
wochenlang	((Woche)[N],(n)[A|N.A],(lang)[A])[A]
Wochenlohn	((Woche)[N],(n)[N|N.N],(Lohn)[N])[N]
Wochenmarkt	((Woche)[N],(n)[N|N.N],(Markt)[N])[N]
Wochenschau	((Woche)[N],(n)[N|N.N],((schau)[V])[N])[N]
Wochenspielplan	((Woche)[N],(n)[N|N.N],(((Spiel)[N])[V],(Plan)[N])[N])[N]
Wochentag	((Woche)[N],(n)[N|N.N],(Tag)[N])[N]
wochentags	(((Woche)[N],(n)[N|N.N],(Tag)[N])[N],(s)[B|N.])[B]
woechentlich	((Woche)[N],(entlich)[A|N.])[A]
wochenweise	((Woche)[N],(n)[B|N.x],(weise)[B|Nx.])[B]
Wochenzeitung	((Woche)[N],(n)[N|N.N],(Zeitung)[N])[N]
Woechnerin	((Woche)[N],(nerin)[N|N.])[N]
Wodka	(Wodka)[N]
wodurch	((wo)[B],(durch)[P])[B]
wofern	((wo)[B],(fern)[A])[C]
wofuer	((wo)[B],(fuer)[P])[B]
wogen	((Woge)[N])[V]
Woge	(Woge)[N]
wogegen	((wo)[B],(gegen)[P])[B]
woher	((wo)[B],(her)[B])[B]
woherum	(((wo)[B],(her)[B])[B],(um)[P])[B]
wohin	((wo)[B],(hin)[B])[B]
wohinauf	((wo)[B],((hin)[B],(auf)[P])[B])[B]
wohinaus	((wo)[B],((hin)[B],(aus)[P])[B])[B]
wohinein	((wo)[B],((hin)[B],(ein)[B])[B])[B]
wohingegen	((wo)[B],((hin)[B],(gegen)[P])[C])[C]
wohinter	((wo)[B],(hinter)[B])[B]
wohinunter	((wo)[B],((hin)[B],(unter)[P])[B])[B]
wohl	(wohl)[B]
Wohl	((wohl)[B])[N]
wohlan	((wohl)[B],(an)[P])[B]
wohlanstaendig	((wohl)[B],((((an)[V|.V],(steh)[V])[V])[N],(ig)[A|N.])[A])[A]
Wohlanstaendigkeit	(((wohl)[B],((((an)[V|.V],(steh)[V])[V])[N],(ig)[A|N.])[A])[A],(keit)[N|A.])[N]
wohlauf	((wohl)[B],(auf)[P])[B]
wohlausgewogen	((wohl)[B],((ausgewogen)[F])[A])[A]
wohlbedacht	((wohl)[B],((bedacht)[F])[A])[A]
Wohlbefinden	((wohl)[B],((befinden)[F])[N])[N]
Wohlbehagen	((wohl)[B],((behagen)[F])[N])[N]
wohlbehalten	((wohl)[B],(behalten)[F])[A]
wohlbehuetet	((wohl)[B],((behuetet)[F])[A])[A]
wohlbekannt	((wohl)[B],((bekannt)[F])[A])[A]
wohlberaten	((wohl)[B],(beraten)[F])[A]
wohlbestallt	((wohl)[B],(bestallt)[F])[A]
wohldurchdacht	((wohl)[B],((durchdacht)[F])[A])[A]
wohlerfahren	((wohl)[B],(erfahren)[F])[A]
wohlerwogen	((wohl)[B],(erwogen)[F])[A]
wohlerzogen	((wohl)[B],(erzogen)[F])[A]
Wohlerzogenheit	(((wohl)[B],(erzogen)[F])[A],(heit)[N|A.])[N]
Wohlfahrt	((wohl)[B],((fahr)[V],(t)[N|V.])[N])[N]
Wohlfahrtsmarke	(((wohl)[B],((fahr)[V],(t)[N|V.])[N])[N],(s)[N|N.N],(Marke)[N])[N]
Wohlfahrtsstaat	(((wohl)[B],((fahr)[V],(t)[N|V.])[N])[N],(s)[N|N.N],(Staat)[N])[N]
wohlfeil	((wohl)[B],(feil)[A])[A]
wohlgebaut	((wohl)[B],(gebaut)[F])[A]
wohlgeboren	((wohl)[B],(geboren)[A])[A]
Wohlgefallen	((wohl)[B],((gefallen)[F])[N])[N]
wohlgefaellig	((wohl)[B],(((ge)[V|.V],(fall)[V])[V],(ig)[A|V.])[A])[A]
wohlgeformt	((wohl)[B],(geformt)[F])[A]
Wohlgefuehl	((wohl)[B],((ge)[N|.V],(fuehl)[V])[N])[N]
wohlgelitten	((wohl)[B],(gelitten)[F])[A]
wohlgemeint	((wohl)[B],(gemeint)[F])[A]
wohlgemerkt	((wohl)[B],(gemerkt)[F])[B]
wohlgemut	((wohl)[B],((ge)[N|.N],(Mut)[N])[N])[A]
wohlgenaehrt	((wohl)[B],(genaehrt)[F])[A]
wohlgeordnet	((wohl)[B],(geordnet)[F])[A]
wohlgeraten	((wohl)[B],(geraten)[F])[A]
Wohlgeruch	((wohl)[B],((ge)[N|.N],(Ruch)[N])[N])[N]
Wohlgeschmack	((wohl)[B],((ge)[N|.V],(schmeck)[V])[N])[N]
wohlgesinnt	((wohl)[B],(gesinnt)[A])[A]
wohlgestaltet	((wohl)[B],(gestaltet)[F])[A]
wohlgetan	((wohlgetan)[F])[A]
wohlhabend	((wohl)[B],(habend)[F])[A]
Wohlhabenheit	(((wohl)[B],(habend)[F])[A],(heit)[N|A.])[N]
wohlig	((wohl)[B],(ig)[A|B.])[A]
Wohlklang	((wohl)[B],((klang)[F])[N])[N]
wohlklingend	((wohl)[B],(klingend)[F])[A]
Wohllaut	((wohl)[B],(((laut)[A])[V])[N])[N]
wohllautend	((wohl)[B],(lautend)[F])[A]
Wohlleben	((wohl)[B],((leben)[F])[N])[N]
wohlmeinend	((wohl)[B],(meinend)[F])[A]
wohlproportioniert	((wohl)[B],(((pro)[N|.N],(Portion)[N])[N],(iert)[A|N.])[A])[A]
wohlriechend	((wohl)[B],(riechend)[F])[A]
wohlschmeckend	((wohl)[B],(schmeckend)[F])[A]
Wohlsein	((wohl)[B],(sein)[F])[N]
wohlsituiert	((wohl)[B],(situiert)[A])[A]
Wohlstand	((wohl)[B],((steh)[V])[N])[N]
Wohlstandsgesellschaft	(((wohl)[B],((steh)[V])[N])[N],(s)[N|N.N],((gesell)[V],(schaft)[N|V.])[N])[N]
Wohltat	(((wohl)[B],(tu)[V])[V])[N]
Wohltaeter	((((wohl)[B],(tu)[V])[V])[N],(er)[N|N.])[N]
wohltaetig	((((wohl)[B],(tu)[V])[V])[N],(ig)[A|N.])[A]
Wohltaetigkeit	(((((wohl)[B],(tu)[V])[V])[N],(ig)[A|N.])[A],(keit)[N|A.])[N]
Wohltaetigkeitsbasar	((((((wohl)[B],(tu)[V])[V])[N],(ig)[A|N.])[A],(keit)[N|A.])[N],(s)[N|N.N],(Basar)[N])[N]
Wohltaetigkeitsveranstaltung	((((((wohl)[B],(tu)[V])[V])[N],(ig)[A|N.])[A],(keit)[N|A.])[N],(s)[N|N.N],(((ver)[V|.N],(Anstalt)[N])[V],(ung)[N|V.])[N])[N]
wohltun	((wohl)[B],(tu)[V])[V]
wohltuend	((wohl)[B],(tuend)[F])[A]
wohlueberlegt	((wohl)[B],((ueberlegt)[F])[A])[A]
wohlunterrichtet	((wohl)[B],(unterrichtet)[F])[A]
wohlverdient	((wohl)[B],((verdient)[F])[A])[A]
Wohlverhalten	((wohl)[B],((verhalten)[F])[N])[N]
Wohlverleih	((wohl)[B],((ver)[V|.V],(leih)[V])[V])[N]
wohlversorgt	((wohl)[B],(versorgt)[F])[A]
wohlverstanden	((wohl)[B],(verstanden)[F])[B]
wohlverwahrt	((wohl)[B],(verwahrt)[F])[A]
wohlweise	((wohl)[B],(weise)[B|B.])[B]
wohlweislich	((wohl)[B],((weise)[A],(lich)[B|A.])[B])[B]
wohlwollen	((wohl)[B],(woll)[V])[V]
Wohlwollen	((wohlwollen)[F])[N]
wohlwollend	((wohlwollend)[F])[A]
wohnen	(wohn)[V]
Wohnbau	((wohn)[V],((bau)[V])[N])[N]
Wohnblock	((wohn)[V],(Block)[N])[N]
Wohngebaeude	((wohn)[V],((ge)[N|.Vx],(bau)[V],(de)[N|xV.])[N])[N]
Wohngeld	((wohn)[V],(Geld)[N])[N]
wohnhaft	((wohn)[V],(haft)[A|V.])[A]
Wohnhaus	((wohn)[V],(Haus)[N])[N]
Wohnheim	((wohn)[V],((heim)[B])[N])[N]
Wohnkueche	((wohn)[V],(Kueche)[N])[N]
Wohnkultur	((wohn)[V],(Kultur)[N])[N]
wohnlich	((wohn)[V],(lich)[A|V.])[A]
Wohnlichkeit	(((wohn)[V],(lich)[A|V.])[A],(keit)[N|A.])[N]
Wohnort	((wohn)[V],(Ort)[N])[N]
wohnortnah	(((wohn)[V],(Ort)[N])[N],(nah)[A])[A]
Wohnraum	((wohn)[V],(Raum)[N])[N]
Wohnraumbeschaffung	(((wohn)[V],(Raum)[N])[N],((be)[V|.V],(schaff)[V])[V],(ung)[N|NV.])[N]
Wohnsitz	((wohn)[V],((sitz)[V])[N])[N]
Wohnstube	((wohn)[V],(Stube)[N])[N]
Wohnung	((wohn)[V],(ung)[N|V.])[N]
Wohnungsamt	(((wohn)[V],(ung)[N|V.])[N],(s)[N|N.N],(Amt)[N])[N]
Wohnungsbau	(((wohn)[V],(ung)[N|V.])[N],(s)[N|N.N],((bau)[V])[N])[N]
Wohnungsbaugenossenschaft	((((wohn)[V],(ung)[N|V.])[N],(s)[N|N.N],((bau)[V])[N])[N],((Genosse)[N],(n)[N|N.x],(schaft)[N|Nx.])[N])[N]
Wohnungseinrichtung	(((wohn)[V],(ung)[N|V.])[N],(s)[N|N.Vx],(einricht)[V],(ung)[N|NxV.])[N]
wohnungslos	(((wohn)[V],(ung)[N|V.])[N],(s)[A|N.x],(los)[A|Nx.])[A]
Wohnungsmarkt	(((wohn)[V],(ung)[N|V.])[N],(s)[N|N.N],(Markt)[N])[N]
Wohnungsnot	(((wohn)[V],(ung)[N|V.])[N],(s)[N|N.N],(Not)[N])[N]
wohnungssuchend	(((wohn)[V],(ung)[N|V.])[N],(s)[A|N.F],(suchend)[F])[A]
Wohnungstausch	(((wohn)[V],(ung)[N|V.])[N],(s)[N|N.N],((tausch)[V])[N])[N]
Wohnungstuer	(((wohn)[V],(ung)[N|V.])[N],(s)[N|N.N],(Tuer)[N])[N]
Wohnungswechsel	(((wohn)[V],(ung)[N|V.])[N],(s)[N|N.N],((wechsel)[V])[N])[N]
Wohnviertel	((wohn)[V],(((vier)[Q],(tel)[Q|Q.])[Q])[N])[N]
Wohnwagen	((wohn)[V],(Wagen)[N])[N]
Wohnzimmer	((wohn)[V],(Zimmer)[N])[N]
woelben	(woelb)[V]
Woelbung	((woelb)[V],(ung)[N|V.])[N]
Wolf	(Wolf)[N]
Woelfin	((Wolf)[N],(in)[N|N.])[N]
Wolfram	(Wolfram)[N]
Wolfsgrube	((Wolf)[N],(s)[N|N.N],((grab)[V])[N])[N]
Wolfshund	((Wolf)[N],(s)[N|N.N],(Hund)[N])[N]
Wolfshunger	((Wolf)[N],(s)[N|N.N],(Hunger)[N])[N]
Wolfsmilch	((Wolf)[N],(s)[N|N.N],(Milch)[N])[N]
Wolfsrachen	((Wolf)[N],(s)[N|N.N],(Rachen)[N])[N]
woelken	((Wolke)[N])[V]
Woelkchen	((Wolke)[N],(chen)[N|N.])[N]
Wolke	(Wolke)[N]
Wolkenbruch	((Wolke)[N],(n)[N|N.N],((brech)[V])[N])[N]
Wolkendecke	((Wolke)[N],(n)[N|N.N],(Decke)[N])[N]
Wolkenkratzer	((Wolke)[N],(n)[N|N.Vx],(kratz)[V],(er)[N|NxV.])[N]
wolkenlos	((Wolke)[N],(n)[A|N.x],(los)[A|Nx.])[A]
Wolkenwand	((Wolke)[N],(n)[N|N.N],(Wand)[N])[N]
wolkig	((Wolke)[N],(ig)[A|N.])[A]
Woelklein	((Wolke)[N],(lein)[N|N.])[N]
wollen	(woll)[V]
Wollappen	((Wolle)[N],(Lappen)[N])[N]
Wolldecke	((Wolle)[N],(Decke)[N])[N]
Wolle	(Wolle)[N]
Wollgarn	((Wolle)[N],(Garn)[N])[N]
Wollgewebe	((Wolle)[N],((ge)[N|.Vx],(web)[V],(e)[N|xV.])[N])[N]
Wollhandel	((Wolle)[N],((handel)[V])[N])[N]
wollig	((Wolle)[N],(ig)[A|N.])[A]
Wollkaemmer	((Wolle)[N],((Kamm)[N])[V],(er)[N|NV.])[N]
Wollkleid	((Wolle)[N],(Kleid)[N])[N]
Wollspinnerei	((Wolle)[N],((spinn)[V],(erei)[N|V.])[N])[N]
Wollstoff	((Wolle)[N],(Stoff)[N])[N]
Wolltuch	((Wolle)[N],(Tuch)[N])[N]
Wollust	((wohl)[B],(Lust)[N])[N]
wollustig	(((wohl)[B],(Lust)[N])[N],(ig)[A|N.])[A]
womit	((wo)[B],(mit)[P])[B]
womoeglich	((wo)[B],((moeg)[V],(lich)[A|V.])[A])[B]
wonach	((wo)[B],(nach)[P])[B]
woneben	((wo)[B],(neben)[P])[B]
Wonne	(Wonne)[N]
Wonnegefuehl	((Wonne)[N],((ge)[N|.V],(fuehl)[V])[N])[N]
Wonnemonat	((Wonne)[N],(Monat)[N])[N]
wonnetrunken	((Wonne)[N],(trunken)[A])[A]
wonnevoll	((Wonne)[N],(voll)[A])[A]
wonnig	((Wonne)[N],(ig)[A|N.])[A]
worab	((wo)[B],(r)[B|B.P],(ab)[P])[B]
woran	((wo)[B],(r)[B|B.P],(an)[P])[B]
worauf	((wo)[B],(r)[B|B.P],(auf)[P])[B]
woraufhin	(((wo)[B],(r)[B|B.P],(auf)[P])[B],(hin)[B])[B]
woraus	((wo)[B],(r)[B|B.P],(aus)[P])[B]
worein	((wo)[B],(r)[B|B.B],(ein)[B])[B]
worin	((wo)[B],(r)[B|B.P],(in)[P])[B]
Wort	(Wort)[N]
Wort	(Wort)[N]
Wortart	((Wort)[N],(Art)[N])[N]
Wortbedeutung	((Wort)[N],((be)[V|.V],(deut)[V])[V],(ung)[N|NV.])[N]
Wortbedeutungslehre	(((Wort)[N],((be)[V|.V],(deut)[V])[V],(ung)[N|NV.])[N],(s)[N|N.N],((lehr)[V],(e)[N|V.])[N])[N]
Wortbildung	((Wort)[N],((Bild)[N])[V],(ung)[N|NV.])[N]
Wortbruch	((Wort)[N],((brech)[V])[N])[N]
wortbruechig	(((Wort)[N],((brech)[V])[N])[N],(ig)[A|N.])[A]
Woertchen	((Wort)[N],(chen)[N|N.])[N]
Wortemacher	((Wort)[N],(e)[N|N.N],((mach)[V],(er)[N|V.])[N])[N]
Wortemacherei	((Wort)[N],(e)[N|N.Vx],(mach)[V],(erei)[N|NxV.])[N]
Woerterbuch	((Wort)[N],(er)[N|N.N],(Buch)[N])[N]
Woerterverzeichnis	((Wort)[N],(er)[N|N.N],(((ver)[V|.V],((Zeichen)[N])[V])[V],(nis)[N|V.])[N])[N]
Wortfamilie	((Wort)[N],(Familie)[N])[N]
Wortfeld	((Wort)[N],(Feld)[N])[N]
Wortfolge	((Wort)[N],((folg)[V],(e)[N|V.])[N])[N]
Wortfuehrer	((Wort)[N],(fuehr)[V],(er)[N|NV.])[N]
Wortgefecht	((Wort)[N],((ge)[N|.V],(fecht)[V])[N])[N]
wortgeschichtlich	((Wort)[N],(((gescheh)[V],(te)[N|V.])[N],(lich)[A|N.])[A])[A]
wortgetreu	((Wort)[N],((ge)[A|.A],(treu)[A])[A])[A]
wortgewaltig	((Wort)[N],((Gewalt)[N],(ig)[A|N.])[A])[A]
wortgewandt	((Wort)[N],((gewandt)[F])[A])[A]
wortkarg	((Wort)[N],(karg)[A])[A]
Wortklauber	((Wort)[N],(klaub)[V],(er)[N|NV.])[N]
Wortklauberei	(((Wort)[N],(klaub)[V],(er)[N|NV.])[N],(ei)[N|N.])[N]
Wortlaut	((Wort)[N],(((laut)[A])[V])[N])[N]
Woertlein	((Wort)[N],(lein)[N|N.])[N]
woertlich	((Wort)[N],(lich)[A|N.])[A]
wortlos	((Wort)[N],(los)[A|N.])[A]
Wortmeldung	((Wort)[N],(meld)[V],(ung)[N|NV.])[N]
Wortraetsel	((Wort)[N],((rat)[V],(sel)[N|V.])[N])[N]
Wortregister	((Wort)[N],(Register)[N])[N]
wortreich	((Wort)[N],(reich)[A|N.])[A]
Wortreichtum	((Wort)[N],((reich)[A],(tum)[N|A.])[N])[N]
Wortschatz	((Wort)[N],(Schatz)[N])[N]
Wortschoepfung	((Wort)[N],(schoepf)[V],(ung)[N|NV.])[N]
Wortschwall	((Wort)[N],((schwell)[V])[N])[N]
Wortsinn	((Wort)[N],(Sinn)[N])[N]
Wortstamm	((Wort)[N],(Stamm)[N])[N]
wortwoertlich	((Wort)[N],((Wort)[N],(lich)[A|N.])[A])[A]
worueber	((wo)[B],(r)[B|B.P],(ueber)[P])[B]
worum	((wo)[B],(r)[B|B.P],(um)[P])[B]
worunter	((wo)[B],(r)[B|B.P],(unter)[P])[B]
woselbst	((wo)[B],(selbst)[O])[B]
wovon	((wo)[B],(von)[P])[B]
wozu	((wo)[B],(zu)[P])[B]
wozwischen	((wo)[B],(zwischen)[P])[B]
wrack	(wrack)[A]
Wrack	(Wrack)[N]
wricken	(wrick)[V]
wriggen	(wrigg)[V]
wringen	(wring)[V]
wuchern	((Wucher)[N])[V]
Wucher	(Wucher)[N]
Wucherblume	(((Wucher)[N])[V],(Blume)[N])[N]
Wucherei	(((Wucher)[N])[V],(ei)[N|V.])[N]
Wucherer	(((Wucher)[N])[V],(er)[N|V.])[N]
wucherisch	(((Wucher)[N])[V],(isch)[A|V.])[A]
Wucherpreis	(((Wucher)[N])[V],(Preis)[N])[N]
Wucherung	(((Wucher)[N])[V],(ung)[N|V.])[N]
Wuchs	((wuchs)[F])[N]
wuechsig	(((wuchs)[F])[N],(ig)[A|N.])[A]
Wuchsstoff	(((wuchs)[F])[N],(Stoff)[N])[N]
wuchten	((Wucht)[N])[V]
Wucht	(Wucht)[N]
wuchtig	((Wucht)[N],(ig)[A|N.])[A]
Wuchtigkeit	(((Wucht)[N],(ig)[A|N.])[A],(keit)[N|A.])[N]
wuehlen	(wuehl)[V]
Wuehlarbeit	((wuehl)[V],((arbeit)[V])[N])[N]
Wuehler	((wuehl)[V],(er)[N|V.])[N]
Wuehlerei	((wuehl)[V],(erei)[N|V.])[N]
wuehlerisch	(((wuehl)[V],(er)[N|V.])[N],(isch)[A|N.])[A]
Wuehlmaus	((wuehl)[V],(Maus)[N])[N]
Wulst	(Wulst)[N]
Wuelstchen	((Wulst)[N],(chen)[N|N.])[N]
wund	(wund)[A]
Wundarzt	((Wunde)[N],(Arzt)[N])[N]
Wundbrand	((Wunde)[N],((brenn)[V])[N])[N]
Wunde	(Wunde)[N]
wundern	((Wunder)[N])[V]
Wunder	(Wunder)[N]
wunderbar	(((Wunder)[N])[V],(bar)[A|V.])[A]
wunderbarerweise	((((Wunder)[N])[V],(bar)[A|V.])[A],(er)[B|A.x],(weise)[B|Ax.])[B]
Wunderblume	((Wunder)[N],(Blume)[N])[N]
Wunderdoktor	((Wunder)[N],(Doktor)[N])[N]
Wunderglaube	((Wunder)[N],((glaub)[V],(e)[N|V.])[N])[N]
wunderglaeubig	((Wunder)[N],(((glaub)[V],(e)[N|V.])[N],(ig)[A|N.])[A])[A]
wunderhold	((Wunder)[N],(hold)[A])[A]
wunderhuebsch	((Wunder)[N],(huebsch)[A])[A]
Wunderkerze	((Wunder)[N],(Kerze)[N])[N]
Wunderkind	((Wunder)[N],(Kind)[N])[N]
wunderlich	((Wunder)[N],(lich)[A|N.])[A]
Wunderlichkeit	(((Wunder)[N],(lich)[A|N.])[A],(keit)[N|A.])[N]
wundermild	((Wunder)[N],(mild)[A])[A]
Wundermittel	((Wunder)[N],(Mittel)[N])[N]
wundernehmen	((Wunder)[N],(nehm)[V])[V]
wunders	((Wunder)[N],(s)[A|N.])[A]
wundersam	(((Wunder)[N])[V],(sam)[A|V.])[A]
wunderschoen	((Wunder)[N],(schoen)[A])[A]
Wundertat	((Wunder)[N],((tu)[V])[N])[N]
Wundertaeter	(((Wunder)[N],((tu)[V])[N])[N],(er)[N|N.])[N]
wundervoll	((Wunder)[N],(voll)[A|N.])[A]
Wunderwerk	((Wunder)[N],(Werk)[N])[N]
Wundfieber	((Wunde)[N],(Fieber)[N])[N]
Wundinfektion	((Wunde)[N],((Infekt)[N],(ion)[N|N.])[N])[N]
wundliegen	((wund)[A],(lieg)[V])[V]
Wundmal	((Wunde)[N],(Mal)[N])[N]
Wundsalbe	((Wunde)[N],(Salbe)[N])[N]
Wundstarrkrampf	((Wunde)[N],(((starr)[V])[A],(Krampf)[N])[N])[N]
wuenschen	((Wunsch)[N])[V]
Wunsch	(Wunsch)[N]
wuenschbar	(((Wunsch)[N])[V],(bar)[A|V.])[A]
Wunschbild	(((Wunsch)[N])[V],(Bild)[N])[N]
Wunschdenken	((Wunsch)[N],(denken)[F])[N]
Wuenschelrute	(Wuenschelrute)[N]
wuenschenswert	((Wuenschen)[F],(s)[A|F.A],(wert)[A])[A]
wunschgemaess	((Wunsch)[N],(gemaess)[A])[B]
Wunschkind	(((Wunsch)[N])[V],(Kind)[N])[N]
Wunschliste	((Wunsch)[N],(Liste)[N])[N]
wunschlos	((Wunsch)[N],(los)[A|N.])[A]
Wunschtraum	((Wunsch)[N],(Traum)[N])[N]
Wunschvorstellung	((Wunsch)[N],(((vor)[P],(stell)[V])[V],(ung)[N|V.])[N])[N]
Wunschzettel	((Wunsch)[N],(Zettel)[N])[N]
Wuerde	(Wuerde)[N]
wuerdelos	((Wuerde)[N],(los)[A|N.])[A]
Wuerdelosigkeit	(((Wuerde)[N],(los)[A|N.])[A],(ig)[N|A.x],(keit)[N|Ax.])[N]
